Phage accession	Host lineage
CP011103.1	{'genus': ['Listeria'], 'family': ['Listeriaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
CP011970.1	{'genus': ['Peptoclostridium'], 'family': ['Peptostreptococcaceae'], 'order': ['Clostridiales'], 'phylum': ['Firmicutes']}
CP013974.1	{'genus': ['Erwinia'], 'family': ['Erwiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP017837.1	{'genus': ['Silvanigrella'], 'family': ['Silvanigrellaceae'], 'order': ['Silvanigrellales'], 'phylum': ['Proteobacteria']}
CP017838.1	{'genus': ['Silvanigrella'], 'family': ['Silvanigrellaceae'], 'order': ['Silvanigrellales'], 'phylum': ['Proteobacteria']}
CP017905.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
CP017906.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
CP018841.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
CP025712.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025713.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025874.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025887.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025900.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025901.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025902.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025907.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP025923.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP027117.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
CP038007.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
CP042877.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
DQ004855.1	{'genus': ['Listeria'], 'family': ['Listeriaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
DQ079870.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079871.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079872.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
DQ079875.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
