Phage accession	Host lineage
MK578530.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK580972.1	{'genus': ['Stenotrophomonas'], 'family': ['Xanthomonadaceae'], 'order': ['Xanthomonadales'], 'phylum': ['Proteobacteria']}
MK598851.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK599315.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK599416.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK605242.1	{'genus': ['Nodularia'], 'family': ['Aphanizomenonaceae'], 'order': ['Nostocales'], 'phylum': ['Cyanobacteria']}
MK605243.1	{'genus': ['Nodularia'], 'family': ['Aphanizomenonaceae'], 'order': ['Nostocales'], 'phylum': ['Cyanobacteria']}
MK605244.1	{'genus': ['Nodularia'], 'family': ['Aphanizomenonaceae'], 'order': ['Nostocales'], 'phylum': ['Cyanobacteria']}
MK605245.1	{'genus': ['Nodularia'], 'family': ['Aphanizomenonaceae'], 'order': ['Nostocales'], 'phylum': ['Cyanobacteria']}
MK605246.1	{'genus': ['Nodularia'], 'family': ['Aphanizomenonaceae'], 'order': ['Nostocales'], 'phylum': ['Cyanobacteria']}
MK608335.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK608336.1	{'genus': ['Serratia'], 'family': ['Yersiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK610268.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK618657.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK618658.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK618715.1	{'genus': ['Serratia'], 'family': ['Yersiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK618716.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK618717.1	{'genus': ['Serratia'], 'family': ['Yersiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK620893.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK620894.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK620896.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK620899.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK620900.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK620901.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK620902.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK629526.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK629527.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK629528.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK629529.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK630230.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK637516.1	{'genus': ['Agrobacterium'], 'family': ['Rhizobiaceae'], 'order': ['Rhizobiales'], 'phylum': ['Proteobacteria']}
MK639187.1	{'genus': ['Shigella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK651787.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK660712.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK660713.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK660714.1	{'genus': ['Arthrobacter'], 'family': ['Micrococcaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK672798.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK672799.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK672802.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK672804.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK672805.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK673511.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK675901.1	{'genus': ['Shewanella'], 'family': ['Shewanellaceae'], 'order': ['Alteromonadales'], 'phylum': ['Proteobacteria']}
MK685667.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK685668.1	{'genus': ['Shigella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK686068.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK686069.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK686070.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK686071.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK686072.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK689364.1	{'genus': ['Edwardsiella'], 'family': ['Hafniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK693030.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK714353.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK719701.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719705.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719708.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719710.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719711.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719714.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719715.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719717.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719723.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719726.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719728.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719732.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719733.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719734.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719737.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719741.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719742.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719745.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719746.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719748.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719750.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK719754.1	{'genus': ['Rheinheimera'], 'family': ['Chromatiaceae'], 'order': ['Chromatiales'], 'phylum': ['Proteobacteria']}
MK721183.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721184.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721185.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721186.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721187.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721188.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721189.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721190.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721191.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721192.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721193.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721194.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721195.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721196.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721197.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721198.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721199.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK721200.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK728541.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK728824.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK728825.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK737937.1	{'genus': ['Raoultella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK737942.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK737944.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK757445.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK757446.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK757448.1	{'genus': ['Arthrobacter'], 'family': ['Micrococcaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK757449.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK759854.1	{'genus': ['Shigella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK759918.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK761195.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK761196.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK761197.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK761199.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK770119.1	{'genus': ['Pantoea'], 'family': ['Erwiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK770409.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK770411.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK770414.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK773491.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK774614.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK778457.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK779875.1	{'genus': ['Lactococcus'], 'family': ['Streptococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK792752.1	{'genus': ['Listeria'], 'family': ['Listeriaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK795384.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK795385.1	{'genus': ['Klebsiella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK796244.1	{'genus': ['Vibrio'], 'family': ['Vibrionaceae'], 'order': ['Vibrionales'], 'phylum': ['Proteobacteria']}
MK796797.1	{'genus': ['Shewanella'], 'family': ['Shewanellaceae'], 'order': ['Alteromonadales'], 'phylum': ['Proteobacteria']}
MK797984.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK798142.1	{'genus': ['Pantoea'], 'family': ['Erwiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK798143.1	{'genus': ['Pantoea'], 'family': ['Erwiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK798144.1	{'genus': ['Pantoea'], 'family': ['Erwiniaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK799832.1	{'genus': ['Synechococcus'], 'family': ['Synechococcaceae'], 'order': ['Synechococcales'], 'phylum': ['Cyanobacteria']}
MK800154.1	{'genus': ['Enterococcus'], 'family': ['Enterococcaceae'], 'order': ['Lactobacillales'], 'phylum': ['Firmicutes']}
MK801681.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK801683.1	{'genus': ['Staphylococcus'], 'family': ['Staphylococcaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK801721.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801722.1	{'genus': ['Streptomyces'], 'family': ['Streptomycetaceae'], 'order': ['Streptomycetales'], 'phylum': ['Actinobacteria']}
MK801723.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801724.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801725.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801726.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801727.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801728.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801729.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801730.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK801731.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK801733.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK801735.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK803322.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK804891.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK804892.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK804893.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK809530.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK814748.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814749.1	{'genus': ['Arthrobacter'], 'family': ['Micrococcaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK814750.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814752.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814753.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK814754.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814756.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK814757.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814758.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814759.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK814761.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK816297.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK817115.1	{'genus': ['Escherichia'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK819239.1	{'genus': ['Pseudomonas'], 'family': ['Pseudomonadaceae'], 'order': ['Pseudomonadales'], 'phylum': ['Proteobacteria']}
MK820638.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK820639.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK820641.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK820642.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK838108.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK838111.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK838112.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK838113.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK838114.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK838115.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK838116.1	{'genus': ['Aeromonas'], 'family': ['Aeromonadaceae'], 'order': ['Aeromonadales'], 'phylum': ['Proteobacteria']}
MK843319.1	{'genus': ['Bacillus'], 'family': ['Bacillaceae'], 'order': ['Bacillales'], 'phylum': ['Firmicutes']}
MK864263.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK864264.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK864265.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK864266.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK864267.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK867835.1	{'genus': ['Salmonella'], 'family': ['Enterobacteriaceae'], 'order': ['Enterobacterales'], 'phylum': ['Proteobacteria']}
MK875791.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK875792.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK875793.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK875794.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK875795.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK875798.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK875799.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK878896.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK878897.1	{'genus': ['Mycobacterium'], 'family': ['Mycobacteriaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK878899.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK878901.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK878902.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK878903.1	{'genus': ['Gordonia'], 'family': ['Gordoniaceae'], 'order': ['Corynebacteriales'], 'phylum': ['Actinobacteria']}
MK878904.1	{'genus': ['Microbacterium'], 'family': ['Microbacteriaceae'], 'order': ['Micrococcales'], 'phylum': ['Actinobacteria']}
MK882925.1	{'genus': ['Dinoroseobacter'], 'family': ['Rhodobacteraceae'], 'order': ['Rhodobacterales'], 'phylum': ['Proteobacteria']}
